c_custkey	c_name	revenue	c_acctbal	n_name	c_address	c_phone	c_comment
51718390	Customer#051718390	734306.4329	-79.58	EGYPT	ZtLa p8bZ4Qw4tzK38cCLTbox83	14-702-187-4866	y carefully final dolphins. blithely iron
118393487	Customer#118393487	676198.2954000001	1043.05	BRAZIL	ksaQkDKf9ltpy5K,G9cnnmV3TKx5g	12-791-761-7592	y final pinto beans-- carefully ironic packages boost blithely: pending excuses lose quickly
58620298	Customer#058620298	666848.2445	7376.62	MOROCCO	wQZ5QQchTQfqYHbSINNb7oA 7wy	25-912-426-6173	multipliers. slyly pending accounts wake even deposits; always ironic accounts cajole carefully
82556692	Customer#082556692	666108.8669	8983.18	UNITED KINGDOM	RZCV9YCBp2O54Jh9QcPn	33-259-944-9534	final dolphins poach across the slyly regular deposits. theodolites about the accounts are 
133085882	Customer#133085882	665271.1744	7655.81	JAPAN	QiqfcPJ22zYqgrI5	22-475-168-6189	ular requests according to the furiously unusual dolphins need to hag
79792639	Customer#079792639	662022.3607999999	-6.92	JORDAN	DlmYV3M8Q49e4hu,kqGjaeUeIBYOkyi9Op7S	23-174-675-6244	lve furiously according to the carefully ironic foxes; sometimes regular frays aff
103081819	Customer#103081819	660124.6883000002	-388.05	JAPAN	hufYbBnjF,aTm4Z96QjFHQssYhI	22-676-922-9309	ys. ironic, even accounts according to the carefull
104172050	Customer#104172050	659933.6823999999	5557.08	UNITED STATES	hZ2huSpFzeNhEkSocVzeU947T 71k7m7AMpHg	34-279-229-8222	its sleep blithely after the quickly spec
99426850	Customer#099426850	656866.0424	7178.37	INDONESIA	UFyrVkjIImvkEjYoj28NSzGkslSkWV6ub MLo90k	19-782-762-8875	uests sleep daringly pains. quickly ironic pinto beans wake along th
91538647	Customer#091538647	656570.3806	5589.24	JORDAN	kd3W66ar7Ys QHDh5OCmuuFnI4NBjxuUzIzgW7	23-452-544-7682	deposits along the special packages was always after the 
90626302	Customer#090626302	656532.0317999999	7514.09	JORDAN	f6benvUg4bjfBMcvtULPRwI1l	23-215-651-7765	beans. express deposits cajole blithely of the daringly regular accounts. pending excuses detect after the qui
44871742	Customer#044871742	655971.8869	8140.88	ALGERIA	QWL9qFdJhV 12,3xm HtsFhZyewsggindIe	10-610-411-6763	its integrate carefully express, pending packages. regular, even request
120814141	Customer#120814141	654622.1389	6999.85	EGYPT	xFBsDvc IKv,9XBbKWz,PLwsQKeLvijWGNgrmtI	14-967-655-1163	old, regular deposits. courts sleep along the furiously ironic ideas. carefully ironic packages wake regular d
5899708	Customer#005899708	652404.2803	4914.31	IRAQ	eksG vL0pc1	21-442-786-3301	gular accounts. excuses haggle quickly always regular packages. unusual acco
95772536	Customer#095772536	651165.0053999999	7925.69	GERMANY	iSiCuvjNaxmKn	17-527-748-1697	oxes sleep asymptotes. blithely regular theodolites x-ray permanently packa
124473127	Customer#124473127	650322.5152	-701.99	IRAN	MQlyPm,plBLQ8s,7fr	20-284-595-8298	 unusual pinto beans. deposits doze blithely slyly final requests. blithely s
135335104	Customer#135335104	649049.9377	-856.50	ETHIOPIA	cWrF0oaib87Nweb	15-764-348-5088	osits. ironic, even packages haggle? slyly unusual deposits haggle at the quickly ir
147277318	Customer#147277318	647412.2434	4343.77	KENYA	XoIOAyWHkJaR2zZPQp0AkO1	24-537-115-7247	uriously regular theodolites. fin
93475273	Customer#093475273	645383.8093000001	7104.22	IRAN	Sp02Ijg4TEd0j	20-703-676-9270	tegrate gifts. quickly careful notornis sleep carefully express pinto beans. blithely 
41851375	Customer#041851375	644118.7594	7338.66	ETHIOPIA	dU0XflyHepYAChydUuP000XsmMFyg9 Ua	15-624-531-1351	 quickly unusual instructions above the carefully regular dependencies nag carefully above the f
