c_custkey	c_name	revenue	c_acctbal	n_name	c_address	c_phone	c_comment
22345108	Customer#022345108	827200.8682	4509.98	UNITED KINGDOM	58ceG8GqirhOKq1	33-658-340-2381	ven courts lose furiously. final, bold grouches boost carefully silent platelets. final, bold
32920498	Customer#032920498	780142.5098	3868.9	ALGERIA	,rEWogINZnmK5RF1fjtyIf9BX9DT55EqOpc	10-646-675-2845	ect slyly special accounts. blithely even deposits haggle blithely. special, pending foxes haggl
25859195	Customer#025859195	779912.6844	-331.28	JORDAN	pIckoxGwlwaB2ULO	23-495-769-2771	cross the slyly regular theodolites
46583419	Customer#046583419	776517.8946	51.05	IRAN	03UQItc0ozEl3rPfFC9Hrw3eiyPQVDotQbP6JN	20-453-799-5833	ilent, express accounts haggle fluffily. blithely pending accou
34387540	Customer#034387540	772515.9694	6523.92	IRAN	ygYnJhEYnlCks	20-889-688-1082	 slyly silent excuses: slyly unusual deposits h
7839415	Customer#007839415	771495.3419	1994.25	FRANCE	cefXzLSl1w	16-549-776-2127	ar packages. fluffily even instructions haggle blithely fluffily regular excuses. carefully unusual instructi
4206919	Customer#004206919	760536.4945	3195.76	ARGENTINA	V2HZtg4HwU9QdkSoUWWts4lJBex,ugLZDVVxx	11-779-784-3160	y pending deposits. unusual, regular deposits kindle carefully. quickly even deposits integrate. furiously iron
10763119	Customer#010763119	741233.5837	5102.39	IRAQ	PNDEQatQn92YUmii	21-927-622-7943	ring ideas detect slyly asymptotes. unusual packages haggle along the thinly express
30778321	Customer#030778321	731380.0991	7117.63	UNITED KINGDOM	8xa,Ad3ZyJ8CVkxEzQGW9ryYPzZ2rce	33-595-681-4577	gh the pending deposits. express foxes thrash blithely across the silent packages. furiously
12460801	Customer#012460801	729730.2824	6880.93	BRAZIL	iiBLxDO7mxve5sT	12-559-629-2754	kages cajole blithely above the carefully special ideas. blithely ruthless platelets against t
72572404	Customer#072572404	724463.4835	3185.25	EGYPT	pp1Z5TUJwyE vY1q8b	14-345-788-8118	s. even foxes among the even packages sleep above the accounts. blithely dar
45659539	Customer#045659539	724367.7593	8709.21	INDIA	QJZeU8fUWcP	18-482-347-9613	t blithely unusual packages. fluffily sly courts believe furiously near the furiously bold deposits. sl
272464	Customer#000272464	723632.8099	6335.77	IRAN	U 2IkVr ,,mssUeoIjsfIiIWiZa9OYZnt	20-573-225-9640	riously. regular, bold ideas wake slyly. slyly express warthogs detect fluffily ironic packages.
43773643	Customer#043773643	711935.5015	8157.48	ARGENTINA	Pgm75AblCc	11-961-170-9333	nts. slyly ironic pinto beans detect special accounts. slyly regular instructions sleep blithely iro
69825235	Customer#069825235	706672.1552	-771.65	UNITED KINGDOM	PQyhWHtvkXh6IiENG7	33-490-635-6393	refully bold deposits. carefully dogged dolphin
48653497	Customer#048653497	705312.3222	2219.41	FRANCE	cxGVoQ2lVpauoH 5sme3nDABIia9	16-482-520-8249	 blithely regular ideas. blithely regular orbits
39252487	Customer#039252487	703452.6676	5871.32	CANADA	4n47RR32aVWd,yws0w74VVeBdXIdoOGdq	13-520-483-1195	out the final, special sauternes are alongside of the blithely final instructions. blithely even foxe
8527441	Customer#008527441	702559.8774	5150.84	CANADA	IkAthYluPKGxkc	13-241-549-8870	instructions. blithely even asymptotes nag carefully furiously final theodolites. unusual depos
71284897	Customer#071284897	701744.517	481.55	CHINA	6gI ,OmtC0KA9eVOdkTpAVK4k8IX2GU Ijj3pMA	28-775-989-4322	olites detect quickly according to the close theodolites
67507873	Customer#067507873	697757.5249	6824.96	VIETNAM	U7o,0u8Zn3V1wYbBWiB3XTrQYQc3KrB qMw6SZT	31-290-747-6984	furiously: blithely ironic requests affix furiously across the blithely unusual platelets. ironic accounts use c
